query,key,count
홍진영,naver_content2,"[('하나님', 14), ('작업실', 8), ('작곡가', 6), ('트로트', 6), ('지환', 6), ('혼수상태', 5), ('그룹', 4), ('음악', 4), ('경범', 4), ('김지환', 3)]"
홍진영,naver_content3,"[('논문', 350), ('표절', 302), ('홍진영', 267), ('학위', 219), ('석사', 151), ('조선대', 117), ('박사', 116), ('의혹', 113), ('연구', 93), ('가수', 85)]"
홍진영,youtube_transcipt1,"[('음악', 932), ('박수', 177), ('사랑', 22), ('생각', 17), ('오빠', 13), ('언니', 12), ('처음', 8), ('안녕', 7), ('다음', 7), ('제품', 7)]"
홍진영,youtube_transcipt2,[]
홍진영,youtube_transcipt3,"[('음악', 1361), ('논문', 229), ('표절', 228), ('박수', 227), ('홍진영', 224), ('석사', 97), ('학위', 95), ('사랑', 94), ('문제', 83), ('박사', 81)]"
홍진영,youtube_comment1,"[('노래', 174), ('남진', 128), ('홍진영', 127), ('오빠', 90), ('신곡', 76), ('진영', 55), ('응원', 54), ('최고', 51), ('남궁민', 49), ('언니', 47)]"
홍진영,youtube_comment2,[]
홍진영,youtube_comment3,"[('홍진영', 258), ('박사', 116), ('방송', 115), ('학위', 105), ('논문', 100), ('표절', 76), ('교수', 69), ('석사', 65), ('노래', 63), ('언니', 63)]"
설민석,naver_comment1,"[('역사', 56), ('설민석', 20), ('강의', 17), ('세계사', 14), ('방송', 14), ('왜곡', 14), ('사실', 13), ('오류', 12), ('전문가', 11), ('민석이', 11)]"
설민석,naver_comment2,[]
설민석,naver_comment3,"[('역사', 77), ('논문', 44), ('표절', 36), ('설민석', 31), ('방송', 26), ('강의', 24), ('인정', 22), ('석사', 19), ('왜곡', 18), ('취소', 18)]"
설민석,naver_content1,"[('역사', 201), ('설민석', 153), ('방송', 148), ('세계사', 143), ('사실', 120), ('이야기', 102), ('프로그램', 92), ('사과', 90), ('오류', 79), ('자신', 71)]"
설민석,naver_content2,[]
설민석,naver_content3,"[('논문', 342), ('표절', 293), ('역사', 184), ('석사', 171), ('방송', 171), ('설민석', 134), ('교육', 105), ('대학원', 102), ('논란', 101), ('하차', 96)]"
설민석,youtube_transcipt1,"[('음악', 69), ('얘기', 66), ('생각', 58), ('중국', 51), ('나라', 49), ('이성계', 45), ('백성', 43), ('정조', 39), ('아버지', 38), ('조선', 35)]"
설민석,youtube_transcipt2,[]
설민석,youtube_transcipt3,"[('나라', 189), ('역사', 181), ('일본', 172), ('얘기', 154), ('조선', 150), ('고려', 132), ('생각', 123), ('장군', 102), ('이야기', 92), ('문제', 78)]"
설민석,youtube_comment1,"[('역사', 362), ('강의', 160), ('설민석', 122), ('선생', 101), ('사과', 80), ('왜곡', 56), ('생각', 55), ('강사', 54), ('설명', 47), ('한국사', 46)]"
설민석,youtube_comment2,[]
설민석,youtube_comment3,"[('역사', 350), ('설민석', 155), ('강의', 130), ('응원', 128), ('생각', 119), ('선생', 116), ('잘못', 94), ('인정', 91), ('논문', 83), ('감사', 82)]"
